brand,fuel,year,region,price,units_sold
Toyota,Petrol,2021,North,820000,120
Toyota,Diesel,2021,North,910000,90
Honda,Petrol,2021,South,750000,110
Honda,Diesel,2021,East,860000,85
Ford,Petrol,2021,West,700000,80
Ford,Diesel,2021,South,770000,65
BMW,Petrol,2021,North,1200000,45
BMW,Diesel,2021,West,1300000,40
Hyundai,Petrol,2021,East,600000,150
Hyundai,Diesel,2021,South,650000,120
Toyota,Petrol,2022,West,800000,130
Toyota,Diesel,2022,South,950000,95
Honda,Petrol,2022,North,760000,105
Honda,Diesel,2022,East,870000,90
Ford,Petrol,2022,South,720000,75
Ford,Diesel,2022,East,780000,70
BMW,Petrol,2022,West,1250000,55
BMW,Diesel,2022,North,1350000,50
Hyundai,Petrol,2022,South,620000,160
Hyundai,Diesel,2022,East,670000,140
Toyota,Petrol,2023,East,830000,140
Toyota,Diesel,2023,West,970000,100
Honda,Petrol,2023,South,770000,115
Honda,Diesel,2023,North,880000,95
Ford,Petrol,2023,East,740000,85
Ford,Diesel,2023,West,790000,75
BMW,Petrol,2023,South,1280000,60
BMW,Diesel,2023,East,1380000,55
Hyundai,Petrol,2023,North,640000,170
Hyundai,Diesel,2023,West,690000,150
